"dates","COP.Open","COP.High","COP.Low","COP.Close","COP.Volume","COP.Adjusted"
"2014-07-31",84.220001,84.559998,82.370003,82.5,7106000,67.906471
"2014-08-01",81.910004,81.93,79.830002,80.699997,9530200,66.424904
"2014-08-04",80.760002,82.160004,80.300003,81.980003,5609600,67.478485
"2014-08-05",81.440002,81.589996,79.379997,79.739998,6406400,65.634727
"2014-08-06",79.650002,81.5,79.5,80.610001,5412400,66.350815
"2014-08-07",80.830002,80.980003,79.169998,79.589996,4055500,65.511253
"2014-08-08",79.690002,81.43,79.690002,81.330002,4104900,66.943474
"2014-08-11",81.730003,81.879997,80.760002,80.800003,3583300,66.50721
"2014-08-12",80.519997,80.760002,80.089996,80.419998,4046400,66.194443
"2014-08-13",81.190002,81.419998,80.720001,80.889999,3837600,66.581314
"2014-08-14",81.120003,81.209999,79.949997,80.169998,4557800,65.988647
"2014-08-15",80.260002,80.889999,79.809998,80.620003,5433200,66.359062
"2014-08-18",80.949997,80.949997,78.910004,79.339996,8478100,65.305481
"2014-08-19",79.650002,80.18,79.400002,79.910004,5417300,65.774651
"2014-08-20",80.190002,80.599998,79.769997,80.5,4301800,66.260277
"2014-08-21",80.57,81.07,80.400002,80.980003,3122100,66.655373
"2014-08-22",80.68,80.910004,79.870003,80.239998,3645600,66.04628
"2014-08-25",80.330002,80.989998,80.309998,80.800003,3531700,66.50721
"2014-08-26",80.730003,81,80.529999,80.540001,3335600,66.293205
"2014-08-27",80.879997,81.470001,80.610001,81.029999,3146400,66.696518
"2014-08-28",80.889999,81,80.540001,80.660004,2987000,66.391975
"2014-08-29",80.870003,81.230003,80.660004,81.220001,3409200,66.852913
"2014-09-02",81.059998,81.099998,79.769997,80.220001,5578000,66.029823
"2014-09-03",80.980003,81.370003,80.800003,80.900002,5902700,66.589531
"2014-09-04",81.139999,81.239998,79.449997,79.849998,5772500,65.725258
"2014-09-05",79.779999,80.489998,79.470001,80.349998,3596500,66.136818
"2014-09-08",79.940002,80.050003,78.660004,79.029999,6122800,65.050323
"2014-09-09",79.470001,79.75,78.440002,78.959999,6466800,64.992706
"2014-09-10",78.760002,79.010002,77.709999,78.989998,6569200,65.017387
"2014-09-11",78.230003,79.449997,78.019997,79.379997,4310300,65.338409
"2014-09-12",79.209999,79.220001,78.110001,78.449997,3950800,64.572914
"2014-09-15",78.239998,79.620003,77.959999,79.400002,3919800,65.354866
"2014-09-16",79.5,81.279999,79.32,80.75,6172500,66.466042
"2014-09-17",81,81.089996,80.370003,80.639999,4242500,66.375534
"2014-09-18",80.839996,80.870003,79.650002,79.970001,4424100,65.82402
"2014-09-19",80.459999,81,80.309998,80.559998,8054300,66.309669
"2014-09-22",80.330002,80.330002,79.410004,79.68,5235600,65.58532
"2014-09-23",79.540001,79.839996,78.860001,78.910004,4344800,64.951553
"2014-09-24",78.849998,79.080002,77.589996,78.720001,6278900,64.795158
"2014-09-25",78.699997,78.699997,77.57,77.57,4911400,63.848557
"2014-09-26",77.599998,78.470001,77.120003,78.120003,5253100,64.3013
"2014-09-29",77.5,77.949997,76.779999,77.839996,5887100,64.070808
"2014-09-30",77.32,77.639999,75.919998,76.519997,8400600,62.984287
"2014-10-01",76.269997,76.519997,74.580002,75,8719600,61.733181
"2014-10-02",74.57,75.129997,73.370003,74.690002,7414200,61.478027
"2014-10-03",74.949997,75.169998,74.110001,74.769997,5562700,61.543877
"2014-10-06",75.260002,75.739998,74.32,74.959999,6384900,61.70026
"2014-10-07",74.620003,75.339996,73.889999,73.910004,7293900,60.835999
"2014-10-08",73.68,74.629997,72.660004,74.529999,11995700,61.346317
"2014-10-09",73.449997,73.57,71.400002,71.440002,10351000,59.384571
"2014-10-10",71.400002,71.900002,69.910004,70.360001,10320600,58.486832
"2014-10-13",70.120003,70.620003,68,68.07,8606300,56.583244
"2014-10-14",68.269997,68.620003,65.910004,66.199997,13016100,55.028805
"2014-10-15",63.790001,66.349998,63.560001,66.25,16072300,55.070377
"2014-10-16",64.959999,67.370003,64.889999,66.93,12799200,55.635616
"2014-10-17",67.93,70.019997,67.5,68.080002,11005600,56.591572
"2014-10-20",68.18,68.959999,67.330002,68.830002,6742800,57.215012
"2014-10-21",70.07,70.839996,69.650002,70.589996,9000900,58.678001
"2014-10-22",71,71.449997,69.379997,69.440002,9845000,57.722069
"2014-10-23",70.790001,70.919998,69.699997,70,7660700,58.187576
"2014-10-24",69.989998,70.260002,69.110001,70.07,5421600,58.245747
"2014-10-27",69.019997,69.169998,68.260002,68.830002,7491000,57.215012
"2014-10-28",69.080002,70.279999,68.690002,70.220001,5758400,58.370449
"2014-10-29",71.910004,72.150002,70.209999,70.75,7751900,58.811016
"2014-10-30",69.370003,71.910004,69.25,71.349998,7172900,59.309769
"2014-10-31",71.589996,72.239998,70.07,72.150002,9434100,59.974762
"2014-11-03",72.260002,72.57,70.470001,70.559998,9544400,58.65308
"2014-11-04",69.199997,69.839996,68.209999,68.769997,10962400,57.165134
"2014-11-05",69.949997,70.25,68.980003,69.879997,7883400,58.087826
"2014-11-06",69.720001,71.349998,69.489998,71.32,7761100,59.284824
"2014-11-07",71.440002,72.309998,71.400002,72.160004,7367200,59.983082
"2014-11-10",72.82,73.220001,71.459999,71.599998,7301800,59.517559
"2014-11-11",71.519997,71.949997,71.07,71.75,5921800,59.642254
"2014-11-12",71.360001,71.879997,71.089996,71.199997,5751500,59.185055
"2014-11-13",70.779999,71,69.540001,70.349998,7521100,58.478504
"2014-11-14",70.57,71.459999,70.489998,71.410004,5272700,59.359615
"2014-11-17",71.029999,71.769997,70.610001,71.419998,5100600,59.367954
"2014-11-18",71.529999,72.150002,71.07,71.669998,5305700,59.575745
"2014-11-19",72.360001,72.480003,71.32,72.129997,6372600,59.958141
"2014-11-20",72.129997,73.25,72.129997,73.209999,5726300,60.855881
"2014-11-21",74.470001,74.68,73.18,73.639999,8938200,61.213318
"2014-11-24",73.559998,73.790001,72.660004,73.330002,6118600,60.95562
"2014-11-25",73.900002,73.910004,71.57,71.730003,8907100,59.625645
"2014-11-26",71.75,71.75,70.550003,70.830002,7391200,58.877514
"2014-11-28",67.699997,68.139999,65.650002,66.07,11779100,54.920761
"2014-12-01",65.93,67.900002,65.400002,67.769997,14028700,56.333866
"2014-12-02",67.330002,69.580002,67.239998,69.209999,11685600,57.530884
"2014-12-03",69.660004,71.220001,69.279999,70.800003,11904000,58.85257
"2014-12-04",70.160004,70.43,68.68,69.309998,10649700,57.613998
"2014-12-05",69.370003,69.370003,67.470001,67.849998,9822100,56.400379
"2014-12-08",66.980003,67.129997,64.879997,65.029999,10164200,54.056252
"2014-12-09",64.349998,66.25,63.369999,64.959999,12127800,53.998055
"2014-12-10",63.91,64.150002,62.830002,63.540001,9843100,52.817692
"2014-12-11",63.299999,65.449997,63.299999,63.610001,8175100,52.875877
