"dates","APTV.Open","APTV.High","APTV.Low","APTV.Close","APTV.Volume","APTV.Adjusted"
"2016-05-20",55.49036,56.269909,55.297569,55.959766,2023567,53.763741
"2016-05-23",55.817268,56.085499,55.406536,55.49036,1009517,53.312763
"2016-05-24",55.850796,57.242245,55.616093,57.049454,2907341,54.810665
"2016-05-25",57.367981,57.912827,56.948868,56.999161,2230671,54.762352
"2016-05-26",56.940487,57.300922,55.775356,56.320202,2389579,54.110039
"2016-05-27",56.20285,56.865047,56.160938,56.814754,1548156,54.585182
"2016-05-31",57.015926,57.376362,56.672256,56.965633,3079133,54.730145
"2016-06-01",56.345348,56.487846,55.22213,56.211231,2476429,54.005341
"2016-06-02",56.177704,57.317688,55.951382,57.284157,2664685,55.036163
"2016-06-03",56.940487,57.376362,55.448448,56.219612,2096817,54.013401
"2016-06-06",56.404022,56.781223,55.825649,56.605198,2252384,54.383854
"2016-06-07",56.01844,57.460182,56.01844,57.284157,1857024,55.036163
"2016-06-08",57.636211,58.130764,57.359596,57.870914,1984675,55.599892
"2016-06-09",57.317688,57.879295,56.957253,57.778709,1529665,55.511307
"2016-06-10",57.133278,57.393127,56.27829,56.437553,1597785,54.222786
"2016-06-13",56.01844,56.261524,55.255657,55.255657,1713625,53.087269
"2016-06-14",54.911987,55.398155,54.149204,54.610226,1779956,52.467163
"2016-06-15",54.844929,55.993294,54.585079,55.196983,1733071,53.030891
"2016-06-16",54.635372,55.582565,53.805531,55.523888,1977994,53.344971
"2016-06-17",55.473595,56.420788,55.331097,55.708298,3321551,53.522144
"2016-06-20",57.300922,58.67561,57.300922,58.41576,4502859,56.12336
"2016-06-21",58.298409,58.57502,57.409889,57.979881,3065414,55.704586
"2016-06-22",58.407375,58.742664,57.711651,57.86253,2044802,55.591839
"2016-06-23",58.667225,59.28751,58.373848,59.270744,2073434,56.94479
"2016-06-24",55.892708,56.060352,51.894382,52.0285,7418074,49.986752
"2016-06-27",51.31601,51.416595,48.650459,49.505447,5523471,47.56271
"2016-06-28",50.44426,51.760269,50.092205,50.8969,4057632,48.899559
"2016-06-29",51.525566,52.732609,51.24057,52.598492,4209620,50.53437
"2016-06-30",52.808048,53.319363,52.045265,52.472759,3782287,50.413574
"2016-07-01",53.218777,54.467728,52.782902,53.327744,3715241,51.235016
"2016-07-05",52.707458,52.707458,50.201176,50.452641,2522718,48.472729
